itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,fix.stopped,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,preparation.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
7,csavarhúzó,hering,,,,,,,,,1,0,1,0,,,,,0,7,7,6,,,,,,777.9992122212425,,,,,,,779.0271965758875,779.0271965758875,779.0271965758875,779.0271965758875,csavarhúzó,4,4.0114925391972065,783.0604730155319,783.0604730155319,783.0604730155319, hering,down,2.1437651123851538,785.2502441396937,785.2502441396937,4,1.269160402007401,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
9,szilva,kecske,,,,,,,,,1,0,1,0,,,,,0,8,8,8,,,,,,786.5434942441061,,,,,,,787.5571458693594,787.5571458693594,787.5571458693594,787.5571458693594,kecske,4,10.635151479393244,798.2168908817694,798.2168908817694,798.2168908817694, ,down,2.586563262157142,800.8457143940032,800.8457143940032,4,1.0489887138828635,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
4,mocsár,ananász,,,,,,,,,1,0,1,0,,,,,0,9,9,3,,,,,,801.9159937528893,,,,,,,802.9241051105782,802.9241051105782,802.9241051105782,802.9241051105782,mocsár,4,2.3311389992013574,805.3033148925751,805.3033148925751,805.3033148925751, ,down,1.2600463591516018,806.5935025168583,806.5935025168583,4,1.0330465259030461,802.9241051105782,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807.6767561286688,807.6767561286688,4,62.14880683738738,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
8,szalvéta,puska,,,,,,,,,2,0,2,0,0,0,0,7,,,,,,,,,,873.872152114287,874.8633615188301,874.8633615188301,,,,,,,,,,,,,,,,,,,,,,,,,,,869.8562534675002,,,,,,,,,,,,,873.872152114287,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
2,kötény,tisztás,,,,,,,,,2,0,2,0,0,1,1,1,,,,,,,,,,880.8660448817536,881.8723209910095,881.8723209910095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
10,málna,dominó,,,,,,,,,2,0,2,0,0,2,2,9,,,,,,,,,,887.8681161841378,888.8745813854039,888.8745813854039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
3,fogó,limonádé,,,,,,,,,2,0,2,0,0,3,3,2,,,,,,,,,,894.864081188105,895.8726481692865,895.8726481692865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
1,bagoly,kirakó,,,,,,,,,2,0,2,0,0,4,4,0,,,,,,,,,,901.8581876168028,902.8800065806136,902.8800065806136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
7,csavarhúzó,hering,,,,,,,,,2,0,2,0,0,5,5,6,,,,,,,,,,908.8675974262878,909.8832914307714,909.8832914307714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
